Number,Name,Latitude,Longitude,District,Public,Total docks,trip start count,trip end count
A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,18,467,466
S32035,191 Beacon St,42.380323350454155,-71.10878612855231,Somerville,Yes,19,310,278
S32023,30 Dane St,42.38100143038053,-71.10402522613184,Somerville,Yes,15,443,437
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23,995,809
M32054,699 Mt Auburn St,42.37500235137831,-71.14871613699506,Cambridge,Yes,25,177,191
M32060,700 Huron Ave,42.38078817291429,-71.15412890911101,Cambridge,Yes,19,68,60
M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,25,53,45
A32032,Airport T Stop - Bremen St at Brooks St,42.37408320248276,-71.03274185079498,Boston,Yes,11,56,51
M32046,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,Cambridge,Yes,19,112,119
M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23,118,126
A32017,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,Boston,Yes,15,447,307
M32059,Ames St at Broadway,42.363692900000004,-71.0875672,Cambridge,Yes,19,635,611
M32037,Ames St at Main St,42.3625,-71.08821999999999,Cambridge,Yes,19,1384,1321
B32004,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,Boston,Yes,23,679,825
S32018,Assembly Square T,42.39223284004628,-71.07746601104736,Somerville,Yes,15,98,160
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,Boston,Yes,11,835,856
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,Boston,Yes,19,1240,1187
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15,58,32
K32002,Beacon St at Tappan St,42.33826680058037,-71.13894682028331,Brookline,Yes,15,263,212
S32003,Beacon St at Washington / Kirkland,42.37842,-71.10566800000001,Somerville,Yes,19,45,57
C32059,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828045,Boston,Yes,15,10,8
A32028,Bennington St at Byron St,42.383532520117896,-71.01619094610214,Boston,Yes,15,25,21
A32039,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,Boston,Yes,17,17,14
M32027,Binney St / Sixth St,42.36608797388682,-71.08633603909766,Cambridge,Yes,19,636,547
C32044,Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369,Boston,Yes,19,2,5
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,21,1106,1037
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.04535996913908,Boston,Yes,23,253,235
A32036,Boston East - 126 Border St,42.373312125824704,-71.0410200806291,Boston,Yes,15,112,115
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.336399153724976,-71.07306711393903,Boston,Yes,19,218,226
D32044,Boston Public Market,42.36254854409333,-71.05737358331679,Boston,Yes,15,915,899
B32031,Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,Boston,Yes,15,27,12
D32007,Boylston St at Arlington St,42.35258779507021,-71.06764905172895,Boston,Yes,23,502,555
D32046,Boylston St at Exeter St,42.34958942368245,-71.07946779173291,Boston,Yes,19,644,732
B32034,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Boston,Yes,15,905,927
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,Boston,Yes,15,270,264
D32028,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,Boston,Yes,17,197,154
A32005,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970216,Boston,Yes,15,200,219
S32016,Broadway at Central St,42.39517150121575,-71.09850591982195,Somerville,Yes,15,147,74
S32014,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,Somerville,Yes,19,21,14
C32053,Broadway T Stop,42.34278116224414,-71.05747275072645,Boston,Yes,15,226,224
K32005,Brookline Town Hall,42.33376472623494,-71.12046446660315,Brookline,Yes,15,103,108
A32023,Bunker Hill Community College,42.37408991426522,-71.06905996799469,Boston,Yes,23,231,207
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,Cambridge,Yes,19,693,702
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19,562,613
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15,833,821
D32000,Cambridge St at Joy St,42.361211653079856,-71.06530619789737,Boston,Yes,15,1290,1286
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15,545,544
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426000000004,-71.10549499999999,Cambridge,Yes,17,1192,1211
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19,2448,2499
D32039,Charlestown Navy Yard,42.37412454942653,-71.05481199938367,Boston,Yes,23,413,358
A32027,Chelsea St at Saratoga St,42.379771999999996,-71.02744799999999,Boston,Yes,15,6,10
M32049,Child St at North St,42.37150494100319,-71.07249312120985,Cambridge,Yes,23,212,223
D32015,Chinatown Gate Plaza,42.351356,-71.05936700000001,Boston,Yes,19,574,655
D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,577,566
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,Boston,Yes,19,1327,1503
B32035,Cleveland Circle,42.335543083570826,-71.15061519672051,Boston,Yes,15,74,73
C32055,Codman Square Library,42.287361100000005,-71.071111,Boston,Yes,17,10,7
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393,Boston,Yes,15,333,334
B32029,Columbia Rd at Ceylon St,42.309571999999996,-71.0729,Boston,Yes,15,15,14
C32052,Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,Boston,Yes,19,128,165
C32004,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,Boston,Yes,14,544,515
A32002,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,Boston,Yes,15,700,707
K32006,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094705,Brookline,Yes,15,323,304
D32033,Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,Boston,Yes,19,92,69
D32034,Commonwealth Ave at Kelton St,42.34835862817045,-71.13997217276847,Boston,Yes,15,302,182
S32022,Community Path at Cedar Street,42.39407223665884,-71.11133694648744,Somerville,Yes,15,297,233
S32004,Conway Park - Somerville Avenue,42.383404999999996,-71.10759300000001,Somerville,Yes,23,479,462
K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19,828,819
D32005,Copley Square - Dartmouth St at Boylston St,42.349928282300574,-71.07739206866427,Boston,Yes,33,1369,1567
E32001,Curtis Hall - South St at Centre St,42.309053999999996,-71.11543,Boston,Yes,15,159,161
K32009,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,Brookline,Yes,15,21,16
M32030,Dana Park,42.361780439606044,-71.10809952020645,Cambridge,Yes,19,570,538
M32031,Danehy Park,42.388965999999996,-71.132788,Cambridge,Yes,17,161,160
D32045,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Boston,Yes,19,440,615
S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25,875,1020
B32037,Deerfield St at Commonwealth Ave,42.349243769553006,-71.09728209692548,Boston,Yes,19,768,1000
C32009,Dorchester Ave at Gillette Park,42.34404051001636,-71.0573762655258,Boston,Yes,15,96,105
B32017,Dudley Square - Dudley St at Warren St,42.32984299351809,-71.08386572459494,Boston,Yes,14,116,111
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.03943100000001,Boston,Yes,16,96,100
S32017,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,Somerville,Yes,15,169,151
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,158,147
M32034,EF - North Point Park,42.369885,-71.06995699999999,Cambridge,Yes,23,316,388
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.09863399999999,Boston,Yes,15,24,21
A32000,Fan Pier,42.353390507052296,-71.04457139968872,Boston,Yes,15,293,270
A32038,Faneuil St at Arlington St,42.352766205456064,-71.15988485533308,Boston,Yes,15,39,23
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,111,129
S32015,Foss Park,42.39108438146733,-71.09039425849916,Somerville,Yes,15,71,62
C32037,Four Corners - 157 Washington St,42.304127927390155,-71.07929527759552,Boston,Yes,11,13,6
C32027,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston,Yes,15,17,17
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,22,28
M32051,Fresh Pond Reservation,42.38267827521855,-71.143478951426,Cambridge,Yes,17,75,77
C32040,Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368,Boston,Yes,15,13,14
B32032,Government Center - Cambridge St at Court St,42.35980251599553,-71.05960782626425,Boston,Yes,23,567,517
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,207,209
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,9,7
S32019,Grove St at Community Path,42.396386809455,-71.12011306006025,Somerville,Yes,15,54,38
D32043,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,Boston,Yes,19,215,223
C32057,Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,Boston,Yes,19,413,433
D32035,Harvard Ave at Brainerd Rd,42.349530168903755,-71.13022770741735,Boston,Yes,15,427,378
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,Cambridge,Yes,23,705,785
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19,506,529
M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,Yes,15,687,714
M32018,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,Cambridge,Yes,19,1512,1602
M32055,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Cambridge,Yes,19,657,667
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,Cambridge,Yes,17,679,703
M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Cambridge,Yes,15,546,562
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15,633,588
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19,439,398
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,Cambridge,Yes,19,533,542
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337417484597296,-71.10286116600038,Boston,Yes,21,694,592
A32040,Honan Library,42.36027370454934,-71.12852452327388,Boston,Yes,15,154,134
